300
('O', (3, 2), (4, 2)), 299.99930250000034
('X', (4, 3), (3, 3)), 284.2253689579993
('O', (2, 2), (3, 2)), 299.99880270799986
('O', (2, 4), (2, 3)), 280.5723882489983
('X', (5, 3), (5, 2)), 299.99824341600106
('O', (4, 4), (4, 3)), 279.7531519990007
('O', (5, 4), (5, 5)), 299.99769654099873
('O', (3, 4), (3, 5)), 279.4067923319999
('O', (4, 4), (5, 4)), 299.9971742489979
('O', (3, 4), (2, 4)), 279.1625567070005
('X', (1, 3), (1, 4)), 299.99688187399806
('X', (0, 3), (1, 3)), 279.16008774900183
