300
('O', (3, 2), (4, 2)), 299.99933241700273
('X', (4, 3), (3, 3)), 284.7116293750005
('O', (2, 2), (3, 2)), 299.99891129200114
('O', (2, 4), (2, 3)), 281.1139389580021
('X', (5, 3), (5, 2)), 299.99835020900355
('O', (4, 4), (4, 3)), 280.2974688750037
('O', (5, 4), (5, 5)), 299.9978078760032
('O', (3, 4), (3, 5)), 279.9511113340013
('O', (4, 4), (5, 4)), 299.9972805840007
('O', (3, 4), (2, 4)), 279.70736208400194
('X', (1, 3), (1, 4)), 299.99699012600104
('X', (0, 3), (1, 3)), 279.7049121680029
