300
('O', (3, 2), (4, 2)), 299.9998287080016
('O', (0, 2), (1, 2)), 299.99993329100107
('O', (0, 3), (0, 4)), 271.42102312500356
('X', (3, 5), (4, 5)), 299.9993054160004
('X', (3, 4), (2, 4)), 253.1358244170042
('O', (5, 3), (4, 3)), 299.9991838740025
('X', (3, 2), (2, 2)), 246.72387720900588
('X', (3, 1), (4, 1)), 299.9990961240037
('O', (5, 5), (5, 4)), 244.42148162500598
('X', (3, 4), (4, 4)), 299.998990332002
('X', (3, 1), (3, 2)), 238.87278045800485
('X', (3, 0), (2, 0)), 299.998855165999
('O', (3, 5), (3, 4)), 238.69701366600202
('O', (1, 5), (2, 5)), 299.9987764990001
('O', (0, 5), (1, 5)), 237.3390249160002
('X', (4, 0), (3, 0)), 299.9986280819976
('O', (3, 5), (0, 0)), 235.4089556250001
('O', (0, 5), (1, 0)), 299.9985299990003
('O', (3, 5), (1, 4)), 233.79295370800173
