300
('O', (2, 4), (2, 3)), 286.3529151660041
('O', (3, 4), (4, 4)), 288.77600833300676
('X', (4, 3), (3, 3)), 143.17534712500492
('X', (5, 3), (4, 3)), 282.218052250013
('O', (0, 4), (0, 3)), 71.58662354099943
('O', (1, 4), (1, 3)), 280.53356112501206
('O', (2, 4), (3, 4)), 35.79210058299941
('X', (5, 2), (4, 2)), 279.6790062910077
('X', (5, 4), (5, 3)), 17.894830082994304
('O', (2, 5), (1, 5)), 279.6540560410067
('O', (3, 5), (2, 5)), 8.94621295799152
('O', (4, 5), (5, 5)), 279.62811358201
('O', (3, 5), (4, 5)), 4.471913124994899
('O', (3, 2), (2, 2)), 278.8843669980124
('O', (3, 1), (3, 2)), 2.234749915995053
('O', (5, 1), (4, 1)), 278.2513569150178
