300
('O', (3, 2), (4, 2)), 278.985124750001
('O', (3, 0), (4, 0)), 299.9997445420013
('O', (3, 2), (2, 2)), 263.15377079200334
('O', (3, 1), (4, 1)), 299.99956858300357
('X', (4, 3), (4, 4)), 251.06286904200533
('X', (0, 3), (0, 2)), 299.9993739160054
('X', (3, 3), (4, 3)), 248.2872723760047
('O', (2, 1), (1, 1)), 299.99915783200777
('X', (3, 1), (3, 2)), 247.95450700100264
('O', (2, 0), (2, 1)), 299.99892245700903
('X', (3, 0), (3, 1)), 247.67544583400377
('O', (0, 0), (1, 0)), 299.99867966500824
('O', (0, 1), (0, 0)), 247.60652262500298
('O', (5, 1), (5, 0)), 299.9984280820063
('O', (5, 4), (5, 3)), 247.48790683300103
('X', (2, 0), (3, 0)), 299.9981713730049
('O', (5, 5), (4, 5)), 247.43454500000007
