300
('O', (3, 2), (4, 2)), 279.5652835410001
('X', (3, 5), (3, 4)), 299.9998097919997
('O', (3, 3), (4, 3)), 274.18202512399876
('X', (4, 5), (3, 5)), 299.99979016699945
('O', (2, 3), (2, 2)), 271.1568340410013
('O', (1, 3), (2, 3)), 299.9995919999965
('O', (1, 5), (1, 4)), 269.81425891600156
('X', (4, 4), (5, 4)), 299.9993781669982
('X', (4, 5), (4, 4)), 269.47626554100134
('O', (0, 5), (0, 4)), 299.99915195899666
('O', (1, 5), (2, 5)), 269.4388826659997
('O', (0, 5), (1, 5)), 299.99890083399805
('O', (5, 5), (0, 5)), 268.8813507070008
('X', (4, 1), (4, 0)), 299.9986554999996
('X', (5, 1), (4, 1)), 267.7077154990038
