section,agent,opponent,game_number,role,num_moves,my_num_moves,opp_num_moves,my_total_time,opp_total_time,game_total_time,my_avg_turn,opp_avg_turn,my_max_turn,opp_max_turn,my_last_remaining,opp_last_remaining,result,timeout,num_games,win_rate_total,win_rate_as_pink,win_rate_as_black,avg_game_time,avg_my_time,avg_opp_time,avg_my_turn_summary,avg_opp_turn_summary,avg_my_moves,avg_opp_moves,my_timeouts,opp_timeouts,best_win_streak
per_game,Agent 8,Inginious,0,pink,19,10,9,292.6431,45.6769,338.32,29.2643,5.0752,100.1536,5.3675,7.3569,254.3231,win,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,0,pink,18,9,9,288.7351,45.09,333.8252,32.0817,5.01,100.1532,5.0868,11.2649,254.91,loss,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,1,pink,20,10,10,292.6441,50.4215,343.0656,29.2644,5.0422,100.1529,5.2665,7.3559,249.5785,loss,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,1,pink,14,7,7,274.081,35.4022,309.4832,39.1544,5.0575,100.153,5.2467,25.919,264.5978,loss,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,2,pink,12,6,6,260.8932,30.117,291.0101,43.4822,5.0195,100.153,5.1136,39.1068,269.883,loss,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,2,pink,14,7,7,274.081,35.9684,310.0494,39.1544,5.1383,100.1528,5.493,25.919,264.0316,loss,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,3,pink,17,9,8,288.7353,40.093,328.8283,32.0817,5.0116,100.1531,5.0804,11.2647,259.907,win,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,3,pink,25,13,12,298.1427,61.171,359.3137,22.9341,5.0976,100.1529,5.4131,1.8573,238.829,win,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,4,pink,21,11,10,295.2484,50.9792,346.2276,26.8408,5.0979,100.1545,5.4009,4.7516,249.0208,win,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,4,pink,11,6,5,260.8922,25.1391,286.0313,43.482,5.0278,100.1529,5.1366,39.1078,274.8609,win,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,5,black,8,4,4,240.9869,20.0766,261.0634,60.2467,5.0191,100.1022,5.0749,59.0131,279.9234,win,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,5,black,26,13,13,298.3433,65.9412,364.2845,22.9495,5.0724,100.1026,5.4137,1.6567,234.0588,win,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,6,black,20,10,10,287.1904,50.9178,338.1082,28.719,5.0918,100.1033,5.3989,12.8096,249.0822,win,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,6,black,17,8,9,288.5905,46.163,334.7534,36.0738,5.1292,100.1024,5.75,11.4095,253.837,loss,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,7,black,14,7,7,282.7299,35.961,318.691,40.39,5.1373,100.1022,5.5075,17.2701,264.039,win,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,7,black,16,8,8,288.589,41.2237,329.8127,36.0736,5.153,100.1022,5.4987,11.411,258.7763,win,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,8,black,15,7,8,282.7303,40.3785,323.1089,40.39,5.0473,100.1028,5.3346,17.2697,259.6215,loss,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,8,black,15,7,8,282.7314,40.833,323.5645,40.3902,5.1041,100.1029,5.329,17.2686,259.167,loss,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,9,black,15,7,8,282.7301,40.1248,322.8549,40.39,5.0156,100.1037,5.1198,17.2699,259.8752,loss,False,,,,,,,,,,,,,,
per_game,Agent 8,Inginious,9,black,19,9,10,292.4959,50.3529,342.8488,32.4995,5.0353,100.1026,5.2653,7.5041,249.6471,loss,False,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,Agent 8,Inginious,,,,,,,,,,,,,,,,,20,0.5,0.5,0.5,325.2622,282.6607,42.6015,33.6501,5.0716,8.4,8.4,0,0,5
