section,agent,opponent,game_number,role,num_moves,my_num_moves,opp_num_moves,my_total_time,opp_total_time,game_total_time,my_avg_turn,opp_avg_turn,my_max_turn,opp_max_turn,my_last_remaining,opp_last_remaining,result,timeout,num_games,win_rate_total,win_rate_as_pink,win_rate_as_black,avg_game_time,avg_my_time,avg_opp_time,avg_my_turn_summary,avg_opp_turn_summary,avg_my_moves,avg_opp_moves,my_timeouts,opp_timeouts,best_win_streak
per_game,Agent 7,Inginious,0,pink,13,7,6,282.7301,31.3621,314.0921,40.39,5.227,100.1023,5.7164,17.2699,268.6379,win,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,0,pink,27,14,13,298.3811,67.3168,365.6979,21.3129,5.1782,100.1033,5.8089,1.6189,232.6832,win,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,1,pink,21,11,10,288.8419,51.1424,339.9843,26.2584,5.1142,100.1021,5.5707,11.1581,248.8576,win,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,1,pink,13,7,6,282.7319,31.7019,314.4338,40.3903,5.2837,100.104,5.7209,17.2681,268.2981,win,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,2,pink,21,11,10,296.8345,51.5042,348.3386,26.985,5.1504,100.1021,5.5443,3.1655,248.4958,win,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,2,pink,21,11,10,296.8348,51.7893,348.6241,26.985,5.1789,100.1022,5.6538,3.1652,248.2107,win,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,3,pink,15,8,7,288.5884,36.088,324.6763,36.0735,5.1554,100.1026,5.4503,11.4116,263.912,win,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,3,pink,18,9,9,292.495,46.8072,339.3023,32.4994,5.2008,100.1021,5.5466,7.505,253.1928,loss,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,4,pink,22,11,11,296.8344,58.3524,355.1867,26.9849,5.3048,100.1026,5.8269,3.1656,241.6476,loss,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,4,pink,18,9,9,292.4951,46.5676,339.0627,32.4995,5.1742,100.1022,5.6367,7.5049,253.4324,loss,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,5,black,18,9,9,292.4947,46.9725,339.4672,32.4994,5.2192,100.102,5.6371,7.5053,253.0275,win,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,5,black,15,7,8,282.7305,41.2493,323.9798,40.3901,5.1562,100.1024,5.5031,17.2695,258.7507,loss,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,6,black,19,9,10,292.4949,51.0428,343.5378,32.4994,5.1043,100.1034,5.573,7.5051,248.9572,loss,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,6,black,9,4,5,240.9868,26.4751,267.462,60.2467,5.295,100.1023,5.622,59.0132,273.5249,loss,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,7,black,22,11,11,295.1156,57.0058,352.1214,26.8287,5.1823,100.1023,5.5668,4.8844,242.9942,win,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,7,black,22,11,11,296.835,57.2403,354.0753,26.985,5.2037,100.103,5.5383,3.165,242.7597,win,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,8,black,27,13,14,298.288,71.687,369.975,22.9452,5.1205,100.1023,5.5299,1.712,228.313,loss,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,8,black,15,7,8,282.7312,41.5526,324.2838,40.3902,5.1941,100.1023,5.6771,17.2688,258.4474,loss,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,9,black,17,8,9,288.5892,46.4216,335.0109,36.0737,5.158,100.103,5.5283,11.4108,253.5784,loss,False,,,,,,,,,,,,,,
per_game,Agent 7,Inginious,9,black,13,6,7,273.9421,36.3355,310.2776,45.657,5.1908,100.1023,5.6406,26.0579,263.6645,loss,False,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,Agent 7,Inginious,,,,,,,,,,,,,,,,,20,0.5,0.7,0.3,335.4795,288.0488,47.4307,31.4807,5.1837,9.15,9.15,0,0,4
