section,agent,opponent,game_number,role,num_moves,my_num_moves,opp_num_moves,my_total_time,opp_total_time,game_total_time,my_avg_turn,opp_avg_turn,my_max_turn,opp_max_turn,my_last_remaining,opp_last_remaining,result,timeout,num_games,win_rate_total,win_rate_as_pink,win_rate_as_black,avg_game_time,avg_my_time,avg_opp_time,avg_my_turn_summary,avg_opp_turn_summary,avg_my_moves,avg_opp_moves,my_timeouts,opp_timeouts,best_win_streak
per_game,Agent 2,Inginious,0,pink,18,9,9,52.8835,45.77,98.6535,5.8759,5.0856,23.2972,5.4948,247.1165,254.23,loss,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,0,pink,7,4,3,61.1534,15.3251,76.4785,15.2883,5.1084,23.719,5.3238,238.8466,284.6749,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,1,pink,19,10,9,89.3742,45.9145,135.2887,8.9374,5.1016,29.5797,5.4746,210.6258,254.0855,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,1,pink,14,7,7,49.9925,35.6223,85.6148,7.1418,5.0889,23.3833,5.2492,250.0075,264.3777,loss,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,2,pink,16,8,8,70.5547,41.0924,111.6472,8.8193,5.1366,23.4085,5.435,229.4453,258.9076,loss,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,2,pink,5,3,2,42.0623,10.5117,52.574,14.0208,5.2559,23.5372,5.5109,257.9377,289.4883,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,3,pink,17,9,8,45.8224,40.4646,86.287,5.0914,5.0581,23.5051,5.2864,254.1776,259.5354,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,3,pink,17,9,8,55.6508,40.5608,96.2116,6.1834,5.0701,23.5601,5.4659,244.3492,259.4392,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,4,pink,5,3,2,41.6924,10.0029,51.6953,13.8975,5.0015,23.4612,5.002,258.3076,289.9971,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,4,pink,20,10,10,57.6001,51.6571,109.2571,5.76,5.1657,23.4719,5.5938,242.3999,248.3429,loss,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,5,black,20,10,10,39.6419,50.407,90.0488,3.9642,5.0407,16.0991,5.2133,260.3581,249.593,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,5,black,8,4,4,27.9359,20.1698,48.1057,6.984,5.0424,11.0176,5.1264,272.0641,279.8302,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,6,black,20,10,10,81.9026,52.0048,133.9074,8.1903,5.2005,33.0428,5.6046,218.0974,247.9952,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,6,black,20,10,10,59.0755,50.4635,109.539,5.9075,5.0464,35.3638,5.237,240.9245,249.5365,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,7,black,16,8,8,44.8293,40.9673,85.7966,5.6037,5.1209,18.437,5.6627,255.1707,259.0327,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,7,black,20,10,10,33.3991,51.563,84.9621,3.3399,5.1563,21.5767,5.5739,266.6009,248.437,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,8,black,17,8,9,33.906,45.7202,79.6261,4.2382,5.08,12.9344,5.2451,266.094,254.2798,loss,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,8,black,19,9,10,31.8569,50.8834,82.7403,3.5397,5.0883,14.9621,5.4663,268.1431,249.1166,loss,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,9,black,8,4,4,22.4788,20.9825,43.4613,5.6197,5.2456,12.6993,5.5631,277.5212,279.0175,win,False,,,,,,,,,,,,,,
per_game,Agent 2,Inginious,9,black,15,7,8,49.602,40.9788,90.5809,7.086,5.1224,26.2636,5.4245,250.398,259.0212,loss,False,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,Agent 2,Inginious,,,,,,,,,,,,,,,,,20,0.65,0.6,0.7,87.6238,49.5707,38.0531,6.5225,5.1078,7.6,7.45,0,0,5
