300
('O', (3, 2), (4, 2)), 199.89771358299913
('O', (0, 2), (0, 3)), 299.99930550000136
('X', (5, 3), (4, 3)), 133.16323374900094
('O', (0, 0), (0, 1)), 299.9991899170018
('O', (1, 0), (2, 0)), 88.67344724900249
('O', (1, 1), (2, 1)), 299.99893341700226
('O', (1, 3), (1, 4)), 59.01377679100551
('X', (5, 2), (5, 1)), 299.99878100000205
('X', (5, 4), (4, 4)), 39.24076487500497
('O', (1, 0), (0, 0)), 299.998686875002
('O', (1, 1), (1, 2)), 26.05874633300482
('O', (1, 0), (1, 1)), 299.99860429100227
('O', (3, 0), (3, 1)), 17.27074020800501
