300
('O', (3, 2), (4, 2)), 299.99986999999965
('X', (4, 3), (3, 3)), 283.6064084999998
('O', (3, 0), (2, 0)), 299.9994504159986
('X', (4, 4), (4, 3)), 281.54323999999906
('X', (1, 4), (0, 4)), 299.99936516600064
('O', (3, 1), (3, 2)), 274.1653620420002
('O', (5, 1), (5, 0)), 299.9992775409992
('O', (5, 2), (5, 3)), 271.2809458340016
('X', (1, 5), (2, 5)), 299.9990156249987
('O', (5, 1), (4, 1)), 270.9614327929994
('X', (1, 3), (1, 4)), 299.99893145799797
('X', (0, 3), (0, 2)), 270.43072525200114
('X', (2, 3), (1, 3)), 299.9988402909985
('X', (2, 4), (2, 3)), 270.29428837700107
